19-08-2026 12:50:20 | INFO | idms_db2_update_conversion | Sheet Mapping file name: excel_sheet_mapping.csv
19-08-2026 12:50:20 | INFO | idms_db2_update_conversion | Sheet Mapping file size bytes: 80425
19-08-2026 12:50:20 | INFO | idms_db2_update_conversion | CSV/text decoded length: 80425
19-08-2026 12:50:20 | INFO | idms_db2_update_conversion | CSV/text sample: Cobol Recrd IDMS,Cobol Zone,IDMS Key,IDMS PIC Clause,Length of Field Bytes,Field end position,DB2 key,New DB2 Record ,New DB2_Field name,New DB2 DataType,Hopex Expression Type,Remarks,Relation,Reference Field Name (Copybook),Reference Field PIC Clause,Cross Application DB2 table,Cross Application DB2 Field Name,Cross Appln DB2 DataType,,Basetype\r\nVMBFC,   02  KY-VMBFC.,,,9,9,,,,,,,,,,,,,,\r\nVMBFC, 03 CT-RK-TGDSV,CALC,PIC X(4 ),4,13,Primary Key,DZMBFCTB,CT_RKTGDSC_479MBFC,CHAR(4),Identifiier(*) NR
19-08-2026 12:50:20 | INFO | idms_db2_update_conversion | CSV detected headers: ['Cobol Recrd IDMS', 'Cobol Zone', 'IDMS Key', 'IDMS PIC Clause', 'Length of Field Bytes', 'Field end position', 'DB2 key', 'New DB2 Record', 'New DB2_Field name', 'New DB2 DataType', 'Hopex Expression Type', 'Remarks', 'Relation', 'Reference Field Name (Copybook)', 'Reference Field PIC Clause', 'Cross Application DB2 table', 'Cross Application DB2 Field Name', 'Cross Appln DB2 DataType', '', 'Basetype']
19-08-2026 12:50:20 | INFO | idms_db2_update_conversion | CSV parsed useful rows: 840
19-08-2026 12:50:20 | INFO | idms_db2_update_conversion | Sheet Mapping populated Cobol Record IDMS rows: 835
19-08-2026 12:50:20 | INFO | idms_db2_update_conversion | Sheet Mapping populated source field rows: 630
19-08-2026 12:50:20 | INFO | idms_db2_update_conversion | Sheet Mapping populated DB2 table rows: 617
19-08-2026 12:50:20 | INFO | idms_db2_update_conversion | Sheet Mapping populated DB2 column rows: 560
19-08-2026 12:50:20 | INFO | idms_db2_update_conversion | Sheet Mapping useful source-to-target rows: 370
19-08-2026 12:50:20 | INFO | idms_db2_update_conversion | DCLGEN file count: 3
19-08-2026 12:50:20 | INFO | idms_db2_update_conversion | DCLGEN 1: C:\S\S-Input\DCLGENS_BEFF.txt
19-08-2026 12:50:20 | INFO | idms_db2_update_conversion | DCLGEN 1 text length: 3882
19-08-2026 12:50:20 | INFO | idms_db2_update_conversion | DCLGEN 2: C:\S\S-Input\DCLGENS_BFAR.txt
19-08-2026 12:50:20 | INFO | idms_db2_update_conversion | DCLGEN 2 text length: 7344
19-08-2026 12:50:20 | INFO | idms_db2_update_conversion | DCLGEN 3: C:\S\S-Input\DCLGENS_EVEF.txt
19-08-2026 12:50:20 | INFO | idms_db2_update_conversion | DCLGEN 3 text length: 3035
19-08-2026 12:50:20 | INFO | idms_db2_update_conversion | DCLGEN total columns: 89
19-08-2026 12:50:20 | INFO | idms_db2_update_conversion | DCLGEN input file count: 3
19-08-2026 12:50:20 | INFO | idms_db2_update_conversion | DCLGEN file 1 input length: 3882
19-08-2026 12:50:20 | INFO | idms_db2_update_conversion | DCLGEN file 1: resolved table name: DZBEFFTV
19-08-2026 12:50:20 | INFO | idms_db2_update_conversion | DCLGEN file 1: DECLARE section 1 parsed SQL columns: 22
19-08-2026 12:50:20 | INFO | idms_db2_update_conversion | DCLGEN file 1: COBOL host field scan found 22 field(s).
19-08-2026 12:50:20 | INFO | idms_db2_update_conversion | DCLGEN file 1: SQL columns parsed: 22
19-08-2026 12:50:20 | INFO | idms_db2_update_conversion | DCLGEN file 1: COBOL host fields parsed: 22
19-08-2026 12:50:20 | INFO | idms_db2_update_conversion | DCLGEN file 1: merged DCLGEN columns: 22
19-08-2026 12:50:20 | INFO | idms_db2_update_conversion | DCLGEN file 1 parsed columns: 22
19-08-2026 12:50:20 | INFO | idms_db2_update_conversion | DCLGEN file 2 input length: 7344
19-08-2026 12:50:20 | INFO | idms_db2_update_conversion | DCLGEN file 2: resolved table name: DZBFARTV
19-08-2026 12:50:20 | INFO | idms_db2_update_conversion | DCLGEN file 2: DECLARE section 1 parsed SQL columns: 51
19-08-2026 12:50:20 | INFO | idms_db2_update_conversion | DCLGEN file 2: COBOL host field scan found 51 field(s).
