17-08-2026 23:46:12 | INFO | idms_db2_update_conversion | Logger initialized.
17-08-2026 23:46:12 | INFO | idms_db2_update_conversion | Log file: C:\VSCode\IDMS-DB2-CC-New\IDMS-DB2-Code-Conversion\logs\idms_db2_conversion_17-08-2026_234612.log
17-08-2026 23:46:12 | INFO | idms_db2_update_conversion | START LOAD INPUTS
17-08-2026 23:46:13 | INFO | idms_db2_update_conversion | Sheet Mapping file: C:\S\S-Input\Excel_Sheet_mapping.csv
17-08-2026 23:46:13 | INFO | idms_db2_update_conversion | Sheet Mapping rows: 840
17-08-2026 23:46:13 | INFO | idms_db2_update_conversion | DCLGEN file count: 3
17-08-2026 23:46:13 | INFO | idms_db2_update_conversion | DCLGEN 1: C:\S\S-Input\DCLGENS_BEFF.txt
17-08-2026 23:46:13 | INFO | idms_db2_update_conversion | DCLGEN 1 text length: 3882
17-08-2026 23:46:13 | INFO | idms_db2_update_conversion | DCLGEN 2: C:\S\S-Input\DCLGENS_BFAR.txt
17-08-2026 23:46:13 | INFO | idms_db2_update_conversion | DCLGEN 2 text length: 7344
17-08-2026 23:46:13 | INFO | idms_db2_update_conversion | DCLGEN 3: C:\S\S-Input\DCLGENS_EVEF.txt
17-08-2026 23:46:13 | INFO | idms_db2_update_conversion | DCLGEN 3 text length: 3035
17-08-2026 23:46:13 | INFO | idms_db2_update_conversion | DCLGEN total columns: 89
17-08-2026 23:46:13 | INFO | idms_db2_update_conversion | Copybook file count: 1
17-08-2026 23:46:13 | INFO | idms_db2_update_conversion | Copybook 1: C:\S\S-Input\Copybook.txt
17-08-2026 23:46:13 | INFO | idms_db2_update_conversion | Copybook 1 text length: 115952
17-08-2026 23:46:13 | INFO | idms_db2_update_conversion | Copybook total fields: 1
17-08-2026 23:46:13 | INFO | idms_db2_update_conversion | IDMS COBOL source file: C:\S\S-Input\Update.txt
17-08-2026 23:46:13 | INFO | idms_db2_update_conversion | IDMS COBOL source text length: 14764
17-08-2026 23:46:14 | INFO | idms_db2_update_conversion | DB2 COBOL generation completed.
17-08-2026 23:46:14 | INFO | idms_db2_update_conversion | Output file created: C:\S\S-Input\Output\Update_17-08-2026_234614.cbl
17-08-2026 23:46:14 | WARNING | idms_db2_update_conversion | Mapping validation: DB2 column mapping is missing. Table=DZ01FFTB
17-08-2026 23:46:14 | WARNING | idms_db2_update_conversion | Mapping validation: DB2 column mapping is missing. Table=DZ01RSTB
17-08-2026 23:46:14 | WARNING | idms_db2_update_conversion | Program flow analyzer: Sheet Mapping rows received: 840
17-08-2026 23:46:14 | WARNING | idms_db2_update_conversion | Program flow analyzer: DCLGEN columns received: 89
17-08-2026 23:46:14 | WARNING | idms_db2_update_conversion | Program flow analyzer: paragraphs detected: 7
17-08-2026 23:46:14 | WARNING | idms_db2_update_conversion | Program flow analyzer: cursor loops detected: 0
17-08-2026 23:46:14 | WARNING | idms_db2_update_conversion | Program flow analyzer: output writes detected: 4
17-08-2026 23:46:14 | WARNING | idms_db2_update_conversion | Program flow analyzer: DB2 date usages detected: 16
17-08-2026 23:46:14 | WARNING | idms_db2_update_conversion | Qualified field rewrite: CT-RK-TGOOD OF VMBFAR -> CT-TGDSERV-479BFAR OF DCLDZBFARTV
17-08-2026 23:46:14 | WARNING | idms_db2_update_conversion | Qualified field rewrite: NR-CIO-FORM-AS OF VMBFAR -> NR-CIOFMAS-479BFAR OF DCLDZBFARTV
17-08-2026 23:46:14 | WARNING | idms_db2_update_conversion | Qualified field rewrite: DA-CR-FORM-AS OF VMBFAR -> DA-CRFMAS-479BFAR OF DCLDZBFARTV
17-08-2026 23:46:14 | WARNING | idms_db2_update_conversion | Qualified field rewrite: NR-ID-FORM-AS OF VMBFAR -> NR-IDFMAS-479BFAR OF DCLDZBFARTV
17-08-2026 23:46:14 | WARNING | idms_db2_update_conversion | Qualified field rewrite: CT-OPG-FORM-AS OF VMBFAR -> CT-OPGFMAS-479BFAR OF DCLDZBFARTV
17-08-2026 23:46:14 | WARNING | idms_db2_update_conversion | Qualified field rewrite: CT-OPD-FORM-AS OF VMBFAR -> CT-OPDFMAS-479BFAR OF DCLDZBFARTV
17-08-2026 23:46:14 | WARNING | idms_db2_update_conversion | Field usage analyzer: records with usage detected: 2
17-08-2026 23:46:14 | WARNING | idms_db2_update_conversion | Field usage analyzer: record=FFRECAB, condition=0, output=0, move_source=0, move_target=6, dclgen=0
17-08-2026 23:46:14 | WARNING | idms_db2_update_conversion | Field usage analyzer: record=VMBFAR, condition=0, output=0, move_source=0, move_target=0, dclgen=47
17-08-2026 23:46:14 | WARNING | idms_db2_update_conversion | DB2 infrastructure: no operation-specific DCLGEN includes resolved.
17-08-2026 23:46:14 | WARNING | idms_db2_update_conversion | DB2 infrastructure: generated infrastructure block inserted.
17-08-2026 23:46:14 | WARNING | idms_db2_update_conversion | DB2 cursor paragraphs: no cursor operations found.
17-08-2026 23:46:14 | WARNING | idms_db2_update_conversion | Timestamp generator: timestamp working storage and paragraph ensured.
17-08-2026 23:46:14 | WARNING | idms_db2_update_conversion | Production validation: generated host variable DCLDZBFARTV . AM-BINTR-479BFAR was not found in uploaded DCLGEN columns.
17-08-2026 23:46:14 | WARNING | idms_db2_update_conversion | Production validation: generated host variable DCLDZBFARTV . AM-BSDEV-479BFAR was not found in uploaded DCLGEN columns.
17-08-2026 23:46:14 | WARNING | idms_db2_update_conversion | Production validation: generated host variable DCLDZBFARTV . AM-CNDGFAR-479BFAR was not found in uploaded DCLGEN columns.
17-08-2026 23:46:14 | WARNING | idms_db2_update_conversion | Production validation: generated host variable DCLDZBFARTV . AM-CNSGFAR-479BFAR was not found in uploaded DCLGEN columns.
17-08-2026 23:46:14 | WARNING | idms_db2_update_conversion | Production validation: generated host variable DCLDZBFARTV . AM-CRNGFAR-479BFAR was not found in uploaded DCLGEN columns.
17-08-2026 23:46:14 | WARNING | idms_db2_update_conversion | Production validation: generated host variable DCLDZBFARTV . AM-PUT-479BFAR was not found in uploaded DCLGEN columns.
17-08-2026 23:46:14 | WARNING | idms_db2_update_conversion | Production validation: generated host variable DCLDZBFARTV . AM-TPREM-479BFAR was not found in uploaded DCLGEN columns.
17-08-2026 23:46:14 | WARNING | idms_db2_update_conversion | Production validation: generated host variable DCLDZBFARTV . AM-UPREM-479BFAR was not found in uploaded DCLGEN columns.
17-08-2026 23:46:14 | WARNING | idms_db2_update_conversion | Production validation: generated host variable DCLDZBFARTV . AM-VGL-479BFAR was not found in uploaded DCLGEN columns.
17-08-2026 23:46:14 | WARNING | idms_db2_update_conversion | Production validation: generated host variable DCLDZBFARTV . CO-CONT-479BFAR was not found in uploaded DCLGEN columns.
17-08-2026 23:46:14 | WARNING | idms_db2_update_conversion | Production validation: generated host variable DCLDZBFARTV . CO-DEV-479BFAR was not found in uploaded DCLGEN columns.
17-08-2026 23:46:14 | WARNING | idms_db2_update_conversion | Production validation: generated host variable DCLDZBFARTV . CO-RIGFAR-479BFAR was not found in uploaded DCLGEN columns.
17-08-2026 23:46:14 | WARNING | idms_db2_update_conversion | Production validation: generated host variable DCLDZBFARTV . CO-RVUPR-479BFAR was not found in uploaded DCLGEN columns.
17-08-2026 23:46:14 | WARNING | idms_db2_update_conversion | Production validation: generated host variable DCLDZBFARTV . CO-STATGFR-479BFAR was not found in uploaded DCLGEN columns.
